booking_id,passenger_id,flight_id,booking_date,status,seat_number,emergency_contact_name,passport_hash,emergency_contact_phone_masked
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,Isaac Bakshi,59e7e7738c8711b2,+91-******5128
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,Anvi Konda,6a95f336b866dc4d,+91-******8662
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,Udant Dewan,8d413701d70b5174,+91-******8220
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,Harsh Chahal,19c4a665e8bc1266,+91-******6839
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,Pahal Balay,d9157c803314e083,+91-******8266
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,Ayushman Chander,caabc2281b0da4c3,+91-******2726
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,Tejas Kaul,819d0525b412722f,+91-******7864
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,Yashasvi Bala,481f342177d3cec4,+91-******5776
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,Rushil Saini,8c98a8c9d9ef366e,+91-******8807
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,Thomas Sen,16d60fe92f5a5849,+91-******6278
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,Arunima Ahuja,9b8bc958eb99de8f,+91-******9414
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,Nathaniel Sami,2c38e171d27dcd12,+91-******6153
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,Harini Mall,e6d22eaeb25269dd,+91-******6860
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,Nachiket Kale,fab85083e9f77799,+91-******6561
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,Gayathri Chaudry,ce79ecb116713ff5,+91-******9979
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,George Rai,e80647128945b844,+91-******5012
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,Gunbir Parmer,45ac44b766f54461,+91-******0204
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,Hemangini Lalla,f27605d14d86e057,+91-******8257
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,Caleb Sharaf,f08afc002842ef6c,+91-******0106
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,Jeet Radhakrishnan,451e03d407510f43,+91-******0835
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,Farhan Memon,548bb24f886551bd,+91-******6249
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,Janaki Handa,a81b91b550af858b,+91-******0161
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,Ekaraj Bath,d10b00994471367e,+91-******7221
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,Vedant Mann,baf43ee0438d2412,+91-******9325
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,Fariq Kaul,93992d112475cbf9,+91-******8072
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,Harrison Rai,1012f26ddc18bc3e,+91-******2966
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,Arunima Setty,56b08f0dbe81e0fd,+91-******6345
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,Janya Gaba,5739e14cea5a14e2,+91-******0795
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,Kamala Pant,807a50e4d654f4ce,+91-******0757
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,Shaurya Loke,47899709761c35e8,+91-******4016
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,Ekbal Garg,d307a6378262c7c9,+91-******1429
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,Yash Gade,62954bcb007746db,+91-******3949
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,Turvi Raghavan,718575c7b7ffd0a2,+91-******8599
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,Anamika Kanda,a52d3cb89e597a68,+91-******4041
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,Ekta Bhalla,151e90282739e28a,+91-******0606
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,Veer Balay,b20f5000d5f6615e,+91-******1517
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,Diya Rattan,138ba87501deb785,+91-******3647
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,Amrita Bhatti,f583dd86ac1ab40c,+91-******5418
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,Siddharth Murty,2269d969b6195ed5,+91-******6192
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,Simon Tata,f29a77a8a97066be,+91-******9854
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,Meghana Shanker,bcd1bf6246a8cf64,+91-******5230
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,Luke Lanka,86e67dbe9d95297a,+91-******6035
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,Liam Koshy,8e2d9b98b2af010a,+91-******5890
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,Adya Sangha,af93a48a3274117c,+91-******1388
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,Mohini Pathak,16e174d0fb53c3ef,+91-******0954
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,Theodore Devi,fb7a1818d6acdfde,+91-******3432
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,Yashodhara Tak,ec8af10a02df2459,+91-******1874
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,Gavin Batta,06fc223a46a46707,+91-******4608
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,Imaran Dua,8ca1865bfad8bc2f,+91-******4278
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,3C,Nathaniel Sami,3da7675b6ee8e557,+91-******3067
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,Devansh Rajan,0d72266c43031d80,+91-******4482
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,Lakshmi Sidhu,720bfb736136a3f4,+91-******6443
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,Zayan Apte,733cfebca1a82851,+91-******6326
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,Ishwar Yadav,399a80b00d6a0a58,+91-******5009
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,Amara Oak,92064bfc79f8368f,+91-******8191
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,Isaac Memon,08dbe884a6f40898,+91-******7684
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,Radhika Dugar,f380fadf17567f87,+91-******6381
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,Sudiksha Aggarwal,a40b7e364b4f13f0,+91-******4263
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,Adya Tella,f93fc5b8f41c836b,+91-******4081
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,Pranav Tripathi,932065e04863f4c6,+91-******0433
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,Hitesh Misra,05f3d6b7a3517179,+91-******7113
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,Yashica Issac,0296cf4c371c103a,+91-******7530
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,Michael Prakash,cdfa84a9b9646477,+91-******7050
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,Neel Zacharia,26fe229152e764c4,+91-******0081
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,Aadi Naik,da6bd392194e0730,+91-******2918
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,Vrinda Bahl,4b8e984326743f03,+91-******8991
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,Isaac Patil,3cb2c86e89a96e35,+91-******8025
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,Damyanti Khatri,c25bf736040d96af,+91-******9825
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,Dalbir Khosla,4e6c0aada89e3523,+91-******9882
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,Farhan Chada,a62394e2c13ca231,+91-******6369
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,Vedika Biswas,460fb46958bd358e,+91-******3428
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,Jeremiah Dave,3908c87404af101b,+91-******0870
